etiqueta,fecha,hora,temperatura
a,18-09-2016,06:54:58,11.3642213331
b,18-09-2016,06:54:58,11.2134323384
G,18-09-2016,06:55:00,12.0865479033
K,18-09-2016,06:55:00,12.0194628212
L,18-09-2016,06:55:00,11.8015279619
O,18-09-2016,06:55:00,11.3246697674
U,18-09-2016,06:59:58,11.7347526705
V,18-09-2016,06:59:58,11.8708569188
a,18-09-2016,06:59:58,11.3948689556
b,18-09-2016,06:59:58,11.1822567295
G,18-09-2016,07:00:00,12.1794979125
K,18-09-2016,07:00:00,12.1428712324
L,18-09-2016,07:00:00,11.9241306598
O,18-09-2016,07:00:00,11.2936620155
U,18-09-2016,07:04:58,11.765833669
V,18-09-2016,07:04:58,11.8394188427
a,18-09-2016,07:04:58,11.302926088
b,18-09-2016,07:04:58,11.0887299029
G,18-09-2016,07:05:00,12.0710562351
K,18-09-2016,07:05:00,11.8652023073
L,18-09-2016,07:05:00,11.6482745895
O,18-09-2016,07:05:00,11.1076155039
U,18-09-2016,07:09:58,11.6881311726
V,18-09-2016,07:09:58,11.7765426906
a,18-09-2016,07:09:58,11.3795451444
b,18-09-2016,07:09:58,11.0419664897
G,18-09-2016,07:10:00,12.0710562351
K,18-09-2016,07:10:00,11.9423325642
L,18-09-2016,07:10:00,11.8475039736
O,18-09-2016,07:10:00,11.1696310078
U,18-09-2016,07:14:58,11.6881311726
V,18-09-2016,07:14:58,11.8079807666
a,18-09-2016,07:14:58,11.3488975218
b,18-09-2016,07:14:58,10.9952030764
G,18-09-2016,07:15:00,12.225972917
K,18-09-2016,07:15:00,12.1582972838
L,18-09-2016,07:15:00,11.9088053226
O,18-09-2016,07:15:00,11.1696310078
U,18-09-2016,07:19:58,11.4861046817
V,18-09-2016,07:19:58,11.5093190441
a,18-09-2016,07:19:58,11.0270974852
b,18-09-2016,07:19:58,10.8860884453
G,18-09-2016,07:20:00,12.1485145761
K,18-09-2016,07:20:00,12.0348888726
L,18-09-2016,07:20:00,11.7095759385
O,18-09-2016,07:20:00,11.1076155039
U,18-09-2016,07:24:58,11.501645181
V,18-09-2016,07:24:58,11.5564761582
a,18-09-2016,07:24:58,11.0270974852
b,18-09-2016,07:24:58,10.7457982055
G,18-09-2016,07:25:00,12.1949895807
K,18-09-2016,07:25:00,12.0348888726
L,18-09-2016,07:25:00,11.7708772874
O,18-09-2016,07:25:00,11.1696310078
U,18-09-2016,07:29:58,11.4861046817
V,18-09-2016,07:29:58,11.5407571202
a,18-09-2016,07:29:58,10.9658022401
b,18-09-2016,07:29:58,10.7613860099
G,18-09-2016,07:30:00,11.8386812122
K,18-09-2016,07:30:00,11.618385485
L,18-09-2016,07:30:00,11.4183945309
O,18-09-2016,07:30:00,10.9835844961
U,18-09-2016,07:34:58,11.4550236831
V,18-09-2016,07:34:58,11.5093190441
a,18-09-2016,07:34:58,10.9045069951
b,18-09-2016,07:34:58,10.730210401
G,18-09-2016,07:35:00,11.7767145395
K,18-09-2016,07:35:00,11.541255228
L,18-09-2016,07:35:00,11.357093182
O,18-09-2016,07:35:00,10.9215689922
U,18-09-2016,07:39:58,11.4705641824
V,18-09-2016,07:39:58,11.5093190441
a,18-09-2016,07:39:58,10.9045069951
b,18-09-2016,07:39:58,10.7457982055
G,18-09-2016,07:40:00,11.7767145395
K,18-09-2016,07:40:00,11.6029594336
L,18-09-2016,07:40:00,11.357093182
O,18-09-2016,07:40:00,10.9370728682
U,18-09-2016,07:44:58,11.657050174
V,18-09-2016,07:44:58,11.7293855765
a,18-09-2016,07:44:58,11.302926088
b,18-09-2016,07:44:58,10.9172640542
G,18-09-2016,07:45:00,11.978106226
K,18-09-2016,07:45:00,11.8806283587
L,18-09-2016,07:45:00,11.6635999268
O,18-09-2016,07:45:00,11.0766077519
U,18-09-2016,07:49:58,11.7036716719
V,18-09-2016,07:49:58,11.7608236526
a,18-09-2016,07:49:58,11.3488975218
b,18-09-2016,07:49:58,11.0887299029
G,18-09-2016,07:50:00,12.2724479216
K,18-09-2016,07:50:00,12.127445181
L,18-09-2016,07:50:00,11.8934799854
O,18-09-2016,07:50:00,11.3401736434
U,18-09-2016,07:54:58,11.8435361655
V,18-09-2016,07:54:58,11.9337330709
a,18-09-2016,07:54:58,11.4561642007
b,18-09-2016,07:54:58,11.2446079473
G,18-09-2016,07:55:00,12.225972917
K,18-09-2016,07:55:00,12.0194628212
L,18-09-2016,07:55:00,11.9088053226
O,18-09-2016,07:55:00,11.4021891473
U,18-09-2016,07:59:58,11.9367791613
V,18-09-2016,07:59:58,12.0437663371
a,18-09-2016,07:59:58,11.5481070683
b,18-09-2016,07:59:58,11.4004859916
G,18-09-2016,08:00:00,12.380889599
K,18-09-2016,08:00:00,12.2200014893
L,18-09-2016,08:00:00,12.0467333577
O,18-09-2016,08:00:00,11.557227907
U,18-09-2016,08:04:58,12.076643655
V,18-09-2016,08:04:58,12.1852376793
a,18-09-2016,08:04:58,11.701345181
b,18-09-2016,08:04:58,11.6654786669
G,18-09-2016,08:05:00,12.5667896173
K,18-09-2016,08:05:00,12.3896880547
L,18-09-2016,08:05:00,12.2459627419
O,18-09-2016,08:05:00,11.7587782946
U,18-09-2016,08:09:58,12.2009676494
V,18-09-2016,08:09:58,12.3738661356
a,18-09-2016,08:09:58,11.9771737838
b,18-09-2016,08:09:58,11.9304713422
G,18-09-2016,08:10:00,12.6132646219
K,18-09-2016,08:10:00,12.4051141061
L,18-09-2016,08:10:00,12.3685654398
O,18-09-2016,08:10:00,11.9913364341
U,18-09-2016,08:14:58,12.3408321431
V,18-09-2016,08:14:58,12.4367422877
a,18-09-2016,08:14:58,12.1917071415
b,18-09-2016,08:14:58,12.1487006043
G,18-09-2016,08:15:00,12.7681813038
K,18-09-2016,08:15:00,12.6056527742
L,18-09-2016,08:15:00,12.5371441494
O,18-09-2016,08:15:00,12.2549023256
U,18-09-2016,08:19:58,12.5739396325
V,18-09-2016,08:19:58,12.6568088201
a,18-09-2016,08:19:58,12.4368881218
b,18-09-2016,08:19:58,12.3513420619
G,18-09-2016,08:20:00,12.9695729903
K,18-09-2016,08:20:00,12.8216174937
L,18-09-2016,08:20:00,12.7823495453
O,18-09-2016,08:20:00,12.4564527132
U,18-09-2016,08:24:58,12.7604256241
V,18-09-2016,08:24:58,12.8297182384
a,18-09-2016,08:24:58,12.6514214796
b,18-09-2016,08:24:58,12.5695713239
G,18-09-2016,08:25:00,13.0470313313
K,18-09-2016,08:25:00,12.9450259049
L,18-09-2016,08:25:00,12.9662535921
O,18-09-2016,08:25:00,12.7510263566
U,18-09-2016,08:29:58,13.0401546115
V,18-09-2016,08:29:58,13.1283799609
a,18-09-2016,08:29:58,12.9272500824
b,18-09-2016,08:29:58,12.9280908259
G,18-09-2016,08:30:00,13.3258813587
K,18-09-2016,08:30:00,13.2381208814
L,18-09-2016,08:30:00,13.2727603369
O,18-09-2016,08:30:00,12.9835844961
U,18-09-2016,08:34:58,13.2111001038
V,18-09-2016,08:34:58,13.3641655313
a,18-09-2016,08:34:58,13.1417834402
b,18-09-2016,08:34:58,13.1463200879
G,18-09-2016,08:35:00,13.5427647134
K,18-09-2016,08:35:00,13.4078074467
L,18-09-2016,08:35:00,13.4719897211
O,18-09-2016,08:35:00,13.3401736434
U,18-09-2016,08:39:58,13.3198835989
V,18-09-2016,08:39:58,13.4899178356
a,18-09-2016,08:39:58,13.249050119
b,18-09-2016,08:39:58,13.3645493499
G,18-09-2016,08:40:00,13.6047313862
K,18-09-2016,08:40:00,13.5312158579
L,18-09-2016,08:40:00,13.594592419
O,18-09-2016,08:40:00,13.4797085271
U,18-09-2016,08:44:58,13.4908290911
V,18-09-2016,08:44:58,13.6313891778
a,18-09-2016,08:44:58,13.4022882317
b,18-09-2016,08:44:58,13.5516030031
G,18-09-2016,08:45:00,13.7751397363
K,18-09-2016,08:45:00,13.7009024232
L,18-09-2016,08:45:00,13.8091471403
O,18-09-2016,08:45:00,13.7122666667
U,18-09-2016,08:49:58,13.537450589
V,18-09-2016,08:49:58,13.7099843679
a,18-09-2016,08:49:58,13.4942310993
b,18-09-2016,08:49:58,13.7542444607
G,18-09-2016,08:50:00,13.9300564182
K,18-09-2016,08:50:00,13.808884783
L,18-09-2016,08:50:00,13.8857738265
O,18-09-2016,08:50:00,13.8828093023
U,18-09-2016,08:54:58,13.7239365806
V,18-09-2016,08:54:58,13.8828937862
a,18-09-2016,08:54:58,13.6627930233
b,18-09-2016,08:54:58,13.9568859183
G,18-09-2016,08:55:00,14.0075147592
K,18-09-2016,08:55:00,13.9014410914
L,18-09-2016,08:55:00,14.0390271989
O,18-09-2016,08:55:00,14.0068403101
U,18-09-2016,08:59:58,13.9725845694
V,18-09-2016,08:59:58,14.0400841665
a,18-09-2016,08:59:58,13.8926501923
b,18-09-2016,08:59:58,14.1907029848
G,18-09-2016,09:00:00,14.4412814686
K,18-09-2016,09:00:00,14.3333705304
L,18-09-2016,09:00:00,14.4834619789
O,18-09-2016,09:00:00,14.5029643411
U,18-09-2016,09:04:58,14.2367730574
V,18-09-2016,09:04:58,14.4330601172
a,18-09-2016,09:04:58,14.2297740402
b,18-09-2016,09:04:58,14.5648102912
G,18-09-2016,09:05:00,14.7666065006
K,18-09-2016,09:05:00,14.7190218153
L,18-09-2016,09:05:00,14.8819207471
O,18-09-2016,09:05:00,15.030096124
U,18-09-2016,09:09:58,15.1381220167
V,18-09-2016,09:09:58,15.3133262467
a,18-09-2016,09:09:58,15.1032312824
b,18-09-2016,09:09:58,15.4689029482
G,18-09-2016,09:10:00,15.3862732283
K,18-09-2016,09:10:00,15.2589336141
L,18-09-2016,09:10:00,15.5868862601
O,18-09-2016,09:10:00,15.7587782946
U,18-09-2016,09:14:58,14.998257523
V,18-09-2016,09:14:58,15.1089787524
a,18-09-2016,09:14:58,15.0419360374
b,18-09-2016,09:14:58,15.6247809925
G,18-09-2016,09:15:00,15.5411899103
K,18-09-2016,09:15:00,15.3360638711
L,18-09-2016,09:15:00,15.7861156443
O,18-09-2016,09:15:00,16.037848062
U,18-09-2016,09:19:58,15.7286609901
V,18-09-2016,09:19:58,16.0206829579
a,18-09-2016,09:19:58,15.8387742233
b,18-09-2016,09:19:58,16.9185687603
G,18-09-2016,09:20:00,16.3777399927
K,18-09-2016,09:20:00,16.3696093145
L,18-09-2016,09:20:00,16.6443345297
O,18-09-2016,09:20:00,17.6657550388
U,18-09-2016,09:24:58,16.4746049564
V,18-09-2016,09:24:58,16.3979398706
a,18-09-2016,09:24:58,16.5589933529
b,18-09-2016,09:24:58,17.6356077641
G,18-09-2016,09:25:00,18.0043651529
K,18-09-2016,09:25:00,18.0047707624
L,18-09-2016,09:25:00,18.2381696026
O,18-09-2016,09:25:00,19.557227907
U,18-09-2016,09:29:58,15.9773089788
V,18-09-2016,09:29:58,16.0992781481
a,18-09-2016,09:29:58,16.0686313923
b,18-09-2016,09:29:58,17.1835614356
G,18-09-2016,09:30:00,16.966423384
K,18-09-2016,09:30:00,16.9095211133
L,18-09-2016,09:30:00,17.242022682
O,18-09-2016,09:30:00,18.4409488372
U,18-09-2016,09:34:58,15.9773089788
V,18-09-2016,09:34:58,16.036401996
a,18-09-2016,09:34:58,16.1299266374
b,18-09-2016,09:34:58,17.3082638711
G,18-09-2016,09:35:00,16.7495400293
K,18-09-2016,09:35:00,16.5238698285
L,18-09-2016,09:35:00,17.1040946469
O,18-09-2016,09:35:00,18.2704062016
U,18-09-2016,09:39:58,16.7077124458
V,18-09-2016,09:39:58,16.9166681255
a,18-09-2016,09:39:58,16.8041743332
b,18-09-2016,09:39:58,17.9006004395
G,18-09-2016,09:40:00,17.5705984435
K,18-09-2016,09:40:00,17.480285015
L,18-09-2016,09:40:00,17.8397108344
O,18-09-2016,09:40:00,19.0145922481
U,18-09-2016,09:44:58,15.4800130013
V,18-09-2016,09:44:58,15.6277070073
a,18-09-2016,09:44:58,15.6089170543
b,18-09-2016,09:44:58,17.1835614356
G,18-09-2016,09:45:00,16.0679066288
K,18-09-2016,09:45:00,15.8296975157
L,18-09-2016,09:45:00,16.2458757615
O,18-09-2016,09:45:00,17.4642046512
U,18-09-2016,09:49:58,15.5577154978
V,18-09-2016,09:49:58,15.8477735396
a,18-09-2016,09:49:58,15.6242408655
b,18-09-2016,09:49:58,16.8562175426
G,18-09-2016,09:50:00,16.0524149606
K,18-09-2016,09:50:00,15.9839580297
L,18-09-2016,09:50:00,16.215225087
O,18-09-2016,09:50:00,17.1696310078
U,18-09-2016,09:54:58,16.6455504486
V,18-09-2016,09:54:58,17.0109823537
a,18-09-2016,09:54:58,16.8961172008
b,18-09-2016,09:54:58,18.3838223769
G,18-09-2016,09:55:00,17.0128983886
K,18-09-2016,09:55:00,16.9557992675
L,18-09-2016,09:55:00,17.242022682
O,18-09-2016,09:55:00,18.7200186047
U,18-09-2016,09:59:58,15.8529849844
V,18-09-2016,09:59:58,16.0835591101
a,18-09-2016,09:59:58,16.0379837698
b,18-09-2016,09:59:58,17.6511955686
G,18-09-2016,10:00:00,16.3777399927
K,18-09-2016,10:00:00,16.3387572117
L,18-09-2016,10:00:00,16.6749852042
O,18-09-2016,10:00:00,18.2083906977
U,18-09-2016,10:04:58,16.7232529451
V,18-09-2016,10:04:58,16.9481062016
a,18-09-2016,10:04:58,16.8194981444
b,18-09-2016,10:04:58,18.5241126167
G,18-09-2016,10:05:00,17.8959234756
K,18-09-2016,10:05:00,17.5574152719
L,18-09-2016,10:05:00,18.4987003357
O,18-09-2016,10:05:00,19.4176930233
U,18-09-2016,10:09:58,16.5212264543
V,18-09-2016,10:09:58,16.7280396692
a,18-09-2016,10:09:58,16.6049647867
b,18-09-2016,10:09:58,18.5241126167
G,18-09-2016,10:10:00,17.2297817433
K,18-09-2016,10:10:00,17.0637816273
L,18-09-2016,10:10:00,18.069590893
O,18-09-2016,10:10:00,19.2781581395
U,18-09-2016,10:14:58,16.9719009339
V,18-09-2016,10:14:58,17.1681727339
a,18-09-2016,10:14:58,17.1872696148
b,18-09-2016,10:14:58,19.0073345541
G,18-09-2016,10:15:00,18.1128068303
K,18-09-2016,10:15:00,17.7733799915
L,18-09-2016,10:15:00,18.8511830922
O,18-09-2016,10:15:00,19.8673054264
U,18-09-2016,10:19:58,18.4637888665
V,18-09-2016,10:19:58,18.6143242324
a,18-09-2016,10:19:58,18.7502983642
b,18-09-2016,10:19:58,20.4570003662
G,18-09-2016,10:20:00,19.4295986266
K,18-09-2016,10:20:00,19.2851330281
L,18-09-2016,10:20:00,19.9699327107
O,18-09-2016,10:20:00,21.526220155
U,18-09-2016,10:24:58,17.236089422
V,18-09-2016,10:24:58,17.0738585058
a,18-09-2016,10:24:58,17.539717274
b,18-09-2016,10:24:58,19.6464345358
G,18-09-2016,10:25:00,17.7255151254
K,18-09-2016,10:25:00,17.1871900385
L,18-09-2016,10:25:00,18.5600016847
O,18-09-2016,10:25:00,19.2781581395
U,18-09-2016,10:29:58,17.6090614051
V,18-09-2016,10:29:58,17.9226865592
a,18-09-2016,10:29:58,17.9074887444
b,18-09-2016,10:29:58,20.0984808643
G,18-09-2016,10:30:00,18.5155902033
K,18-09-2016,10:30:00,18.3132917903
L,18-09-2016,10:30:00,18.9584604529
O,18-09-2016,10:30:00,20.5029643411
U,18-09-2016,10:34:58,17.6712234023
V,18-09-2016,10:34:58,18.0798769395
a,18-09-2016,10:34:58,18.2446125923
b,18-09-2016,10:34:58,20.8622832815
G,18-09-2016,10:35:00,18.7789485625
K,18-09-2016,10:35:00,18.7606472807
L,18-09-2016,10:35:00,19.2496418605
O,18-09-2016,10:35:00,21.4487007752
U,18-09-2016,10:39:58,17.5313589086
V,18-09-2016,10:39:58,17.5454296466
a,18-09-2016,10:39:58,17.8308696881
b,18-09-2016,10:39:58,20.2387711042
G,18-09-2016,10:40:00,18.4536235305
K,18-09-2016,10:40:00,18.3287178417
L,18-09-2016,10:40:00,18.8971591039
O,18-09-2016,10:40:00,20.8440496124
U,18-09-2016,10:44:58,18.6658153574
V,18-09-2016,10:44:58,18.8501098028
a,18-09-2016,10:44:58,19.0414507782
b,18-09-2016,10:44:58,21.2675661967
G,18-09-2016,10:45:00,19.7549236587
K,18-09-2016,10:45:00,19.6090801074
L,18-09-2016,10:45:00,20.2151381066
O,18-09-2016,10:45:00,22.2238945736
U,18-09-2016,10:49:58,18.38608637
V,18-09-2016,10:49:58,18.5986051944
a,18-09-2016,10:49:58,18.7502983642
b,18-09-2016,10:49:58,21.9378417872
G,18-09-2016,10:50:00,19.4760736312
K,18-09-2016,10:50:00,19.670784313
L,18-09-2016,10:50:00,20.3530661417
O,18-09-2016,10:50:00,22.4564527132
U,18-09-2016,10:54:58,18.4482483672
V,18-09-2016,10:54:58,19.0073001831
a,18-09-2016,10:54:58,18.8269174205
b,18-09-2016,10:54:58,23.1692783373
G,18-09-2016,10:55:00,18.7479652261
K,18-09-2016,10:55:00,19.1154464628
L,18-09-2016,10:55:00,19.2496418605
O,18-09-2016,10:55:00,21.5882356589
U,18-09-2016,10:59:58,18.0441953855
V,18-09-2016,10:59:58,18.0170007874
a,18-09-2016,10:59:58,18.1833173473
b,18-09-2016,10:59:58,20.9713979125
G,18-09-2016,11:00:00,19.0887819264
K,18-09-2016,11:00:00,18.7760733321
L,18-09-2016,11:00:00,19.985258048
O,18-09-2016,11:00:00,21.6037395349
U,18-09-2016,11:04:58,19.3029758286
V,18-09-2016,11:04:58,18.3942577001
a,18-09-2016,11:04:58,19.715698474
b,18-09-2016,11:04:58,20.9869857169
G,18-09-2016,11:05:00,19.6619736495
K,18-09-2016,11:05:00,18.6680909723
L,18-09-2016,11:05:00,20.1231860831
O,18-09-2016,11:05:00,21.0145922481
U,18-09-2016,11:09:58,19.7381098089
V,18-09-2016,11:09:58,19.2430857535
a,18-09-2016,11:09:58,20.0221746994
b,18-09-2016,11:09:58,22.2028344626
G,18-09-2016,11:10:00,20.7618820912
K,18-09-2016,11:10:00,19.7324885186
L,18-09-2016,11:10:00,21.2725863761
O,18-09-2016,11:10:00,22.068855814
U,18-09-2016,11:14:58,18.6658153574
V,18-09-2016,11:14:58,18.2999434719
a,18-09-2016,11:14:58,19.0567745895
b,18-09-2016,11:14:58,21.2363905878
G,18-09-2016,11:15:00,19.2591902765
K,18-09-2016,11:15:00,18.5446825612
L,18-09-2016,11:15:00,20.2611141183
O,18-09-2016,11:15:00,21.3246697674
U,18-09-2016,11:19:58,18.961084844
V,18-09-2016,11:19:58,19.2273667155
a,18-09-2016,11:19:58,19.4398698712
b,18-09-2016,11:19:58,21.7975515473
G,18-09-2016,11:20:00,19.3986152902
K,18-09-2016,11:20:00,19.1154464628
L,18-09-2016,11:20:00,20.2764394555
O,18-09-2016,11:20:00,21.7742821705
U,18-09-2016,11:24:58,19.8779743026
V,18-09-2016,11:24:58,20.2176661112
a,18-09-2016,11:24:58,20.4359176036
b,18-09-2016,11:24:58,23.4342710126
G,18-09-2016,11:25:00,19.7394319905
K,18-09-2016,11:25:00,19.7016364158
L,18-09-2016,11:25:00,20.2917647928
O,18-09-2016,11:25:00,22.4254449612
U,18-09-2016,11:29:58,19.6448668132
V,18-09-2016,11:29:58,19.8875663126
a,18-09-2016,11:29:58,19.9608794543
b,18-09-2016,11:29:58,22.9510490753
G,18-09-2016,11:30:00,19.7239403223
K,18-09-2016,11:30:00,19.2851330281
L,18-09-2016,11:30:00,20.1998127693
O,18-09-2016,11:30:00,22.1463751938
U,18-09-2016,11:34:58,18.7590583532
V,18-09-2016,11:34:58,19.2273667155
a,18-09-2016,11:34:58,19.5164889275
b,18-09-2016,11:34:58,22.3119490936
G,18-09-2016,11:35:00,19.6464819813
K,18-09-2016,11:35:00,19.4856716963
L,18-09-2016,11:35:00,20.1385114204
O,18-09-2016,11:35:00,22.3169178295
U,18-09-2016,11:39:58,18.9766253433
V,18-09-2016,11:39:58,19.0858953733
a,18-09-2016,11:39:58,19.4245460599
b,18-09-2016,11:39:58,21.9222539828
G,18-09-2016,11:40:00,19.940823677
K,18-09-2016,11:40:00,19.670784313
L,18-09-2016,11:40:00,20.3377408045
O,18-09-2016,11:40:00,22.6580031008
U,18-09-2016,11:44:58,19.1941923335
V,18-09-2016,11:44:58,19.2902428676
a,18-09-2016,11:44:58,19.7923175304
b,18-09-2016,11:44:58,22.109307636
G,18-09-2016,11:45:00,19.5070569676
K,18-09-2016,11:45:00,18.9920380516
L,18-09-2016,11:45:00,20.4296928279
O,18-09-2016,11:45:00,21.8983131783
U,18-09-2016,11:49:58,18.9766253433
V,18-09-2016,11:49:58,19.0701763352
a,18-09-2016,11:49:58,19.3632508149
b,18-09-2016,11:49:58,22.0001930049
G,18-09-2016,11:50:00,19.5225486358
